epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.398,1.71163,1.0491,0.96508,0.65667,0.42447,0.47546,0.24592,0.7682,24.0324,0.43996,0.000665306,0.000665306,0.000665306
2,423.171,1.71884,0.97008,0.94806,0.62987,0.41959,0.46127,0.24404,0.77747,138.814,0.44068,0.0013056,0.0013056,0.0013056
3,633.029,1.69809,0.94941,0.94152,0.66726,0.44511,0.49583,0.26317,0.76152,96.8139,0.43706,0.00191949,0.00191949,0.00191949
4,842.602,1.67197,0.92439,0.93156,0.70342,0.44934,0.5113,0.27285,0.74675,24.8816,0.43535,0.0018812,0.0018812,0.0018812
5,1052.12,1.65553,0.90755,0.92642,0.71155,0.47701,0.54217,0.29112,0.72671,12.2751,0.42857,0.0018416,0.0018416,0.0018416
6,1261.34,1.62016,0.87723,0.92012,0.7193,0.46069,0.52053,0.28211,0.73009,5.90923,0.43399,0.001802,0.001802,0.001802
7,1470.93,1.60805,0.86348,0.91542,0.71882,0.48381,0.55135,0.29709,0.71522,8.05698,0.42843,0.0017624,0.0017624,0.0017624
8,1682.69,1.58042,0.84761,0.91054,0.72308,0.50539,0.56978,0.30862,0.70202,7.3567,0.42499,0.0017228,0.0017228,0.0017228
9,1892.78,1.56278,0.8332,0.90776,0.71074,0.5051,0.56768,0.3044,0.71,3.38338,0.42339,0.0016832,0.0016832,0.0016832
10,2107.48,1.56065,0.82368,0.90178,0.7153,0.51524,0.5767,0.31189,0.69966,3.7345,0.42198,0.0016436,0.0016436,0.0016436
11,2323.45,1.55133,0.81518,0.89988,0.74239,0.50699,0.57701,0.315,0.69205,29.2533,0.42081,0.001604,0.001604,0.001604
12,2535.88,1.53695,0.80678,0.8972,0.73235,0.52052,0.58598,0.32071,0.69056,5.03796,0.42022,0.0015644,0.0015644,0.0015644
13,2746.55,1.52687,0.79887,0.89619,0.74192,0.52107,0.58991,0.32346,0.6841,4.85596,0.41823,0.0015248,0.0015248,0.0015248
14,2956.29,1.52145,0.79068,0.89346,0.75053,0.51294,0.58531,0.32378,0.67904,6.21708,0.41762,0.0014852,0.0014852,0.0014852
15,3166.09,1.51786,0.7909,0.89353,0.74685,0.51019,0.58018,0.31796,0.68327,3.87643,0.42029,0.0014456,0.0014456,0.0014456
16,3375.79,1.51195,0.78601,0.89167,0.74599,0.53754,0.6056,0.33483,0.66937,7.69773,0.41514,0.001406,0.001406,0.001406
17,3585.41,1.50365,0.77599,0.88811,0.76435,0.53751,0.60738,0.33648,0.66862,5.35379,0.41572,0.0013664,0.0013664,0.0013664
18,3794.99,1.49269,0.76839,0.88733,0.76738,0.53287,0.60945,0.33618,0.66885,4.27223,0.4158,0.0013268,0.0013268,0.0013268
19,4004.93,1.48531,0.7644,0.8859,0.76698,0.53385,0.60656,0.335,0.66984,2.2284,0.41579,0.0012872,0.0012872,0.0012872
20,4214.78,1.48069,0.75734,0.88471,0.77008,0.53772,0.61365,0.33877,0.6647,3.29228,0.41464,0.0012476,0.0012476,0.0012476
21,4424.11,1.46987,0.74959,0.88324,0.76779,0.53914,0.61363,0.34021,0.66616,2.63945,0.41482,0.001208,0.001208,0.001208
22,4633.41,1.4695,0.7502,0.88352,0.76705,0.542,0.61727,0.3436,0.65671,4.9155,0.4134,0.0011684,0.0011684,0.0011684
23,4842.95,1.47216,0.75027,0.88337,0.76421,0.54622,0.6162,0.34378,0.65846,3.46607,0.41285,0.0011288,0.0011288,0.0011288
24,5052.35,1.46107,0.74082,0.8763,0.77525,0.54032,0.61783,0.34307,0.66194,3.74892,0.41303,0.0010892,0.0010892,0.0010892
25,5261.29,1.45694,0.73839,0.8775,0.77164,0.54584,0.62208,0.34673,0.65682,2.14688,0.41231,0.0010496,0.0010496,0.0010496
26,5471.1,1.4509,0.73554,0.87793,0.77749,0.54715,0.62196,0.34771,0.65574,2.80519,0.41258,0.00101,0.00101,0.00101
27,5681.85,1.44529,0.73184,0.87653,0.76912,0.55186,0.62342,0.34729,0.65532,2.27831,0.41243,0.0009704,0.0009704,0.0009704
28,5891.78,1.43685,0.72386,0.87272,0.77166,0.55824,0.62706,0.3528,0.64933,2.81266,0.41111,0.0009308,0.0009308,0.0009308
